"Hospital Name","City","State"
"Geisinger Medical Center","Danville","Pennsylvania"
"Penn Highlands DuBois","DuBois","Pennsylvania"
"Einstein Medical Center Montgomery","East Norriton","Pennsylvania"
"Ephrata Community Hospital","Ephrata","Pennsylvania"
"Hamot Medical Center","Erie","Pennsylvania"
"St. Vincent Health Center","Erie","Pennsylvania"
"Pinnacle Health Hospitals","Harrisburg","Pennsylvania"
"Penn State Children's Hospital","Hershey","Pennsylvania"
"Conemaugh Memorial Medical Center","Johnstown","Pennsylvania"
"Lancaster General Health-Women & Babies Hospital","Lancaster","Pennsylvania"
"St. Mary Medical Center","Langhorne","Pennsylvania"
"Holy Redeemer Hospital and Medical Center","Meadowbrook","Pennsylvania"
"Riddle Hospital","Media","Pennsylvania"
"Children's Hospital of Philadelphia Newborn Center","Philadelphia","Pennsylvania"
"Einstein Medical Center Philadelphia","Philadelphia","Pennsylvania"
"Hahnemann University Hospital","Philadelphia","Pennsylvania"
"Hospital of University of Pennsylvania","Philadelphia","Pennsylvania"
"Pennsylvania Hospital","Philadelphia","Pennsylvania"
"Temple University Hospital","Philadelphia","Pennsylvania"
"Thomas Jefferson University Hospital","Philadelphia","Pennsylvania"
"Magee Women's Hospital","Pittsburgh","Pennsylvania"
"Western Pennsylvania Hospital","Pittsburgh","Pennsylvania"
"Reading Hospital-Tower Health","Reading","Pennsylvania"
"Moses Taylor Hospital","Scranton","Pennsylvania"
"Crozer Chester Medical Center","Upland","Pennsylvania"
"CHOP Newborn Care at Chester County Hospital","West Chester","Pennsylvania"
"Geisinger Wyoming Valley Medical Center","Wilkes Barre","Pennsylvania"
"Lankenau Medical Center","Wynnewood","Pennsylvania"
"WellSpan York Hospital","York","Pennsylvania"
"Women & Infants Hospital","Providence","Rhode Island"
"Medical University of South Carolina","Charleston","South Carolina"
"Trident Medical Center","Charleston","South Carolina"
"Palmetto Health Baptist,Women's & Neonatal Svcs","Columbia","South Carolina"
"Palmetto Health Richland","Columbia","South Carolina"
"McLeod Regional Medical Center","Florence","South Carolina"
"Children's Hospital of Greenville","Greenville","South Carolina"
"Spartanburg Regional Healthcare System","Spartanburg","South Carolina"
"Summerville Medical Center","Summerville","South Carolina"
"Rapid City Regional Hospital","Rapid City","South Dakota"
"Avera McKennan","Sioux Falls","South Dakota"
"Boekelheide NICU at Sanford Health","Sioux Falls","South Dakota"
"Children's Hospital at Erlanger","Chattanooga","Tennessee"
"Parkridge East Hospital","Chattanooga","Tennessee"
"Maury Regional Medical Center","Columbia","Tennessee"
"Jackson Madison County General Hospital","Jackson","Tennessee"
"Niswonger Children's Hospital","Johnson City","Tennessee"
"East Tennessee Children's Hospital","Knoxville","Tennessee"
"University of Tennessee Medical Center","Knoxville","Tennessee"
"Baptist Memorial Hospital for Women","Memphis","Tennessee"
"Regional One Health","Memphis","Tennessee"
"Children's Hospital at TriStar Centennial, The","Nashville","Tennessee"
"Monroe Carell Jr. Children's Hospital Vanderbilt","Nashville","Tennessee"
"Baptist St. Anthony's Health System","Amarillo","Texas"
"Texas Tech University Health Science Center","Amarillo","Texas"
"Medical Center of Arlington","Arlington","Texas"
"Texas Health Arlington Memorial","Arlington","Texas"
"Dell Children's Medical Center of Central Texas","Austin","Texas"
"North Austin Medical Center","Austin","Texas"
"Seton Medical Center","Austin","Texas"
"St. David's Medical Center","Austin","Texas"
"St. David's South Austin Medical Center","Austin","Texas"
"CHRISTUS Southeast Texas Hospital","Beaumont","Texas"
"Valley Regional Medical Center TX","Brownsville","Texas"
"Christus Spohn Hospital Corpus Christi South","Corpus Christi","Texas"
"Corpus Christi Medical Center","Corpus Christi","Texas"
"Driscoll Children's Hospital","Corpus Christi","Texas"
"Baylor Healthcare System","Dallas","Texas"
"Medical City Dallas","Dallas","Texas"
"Methodist Dallas Medical Center","Dallas","Texas"
"University of Texas Southwestern Med. Ctr. Dallas","Dallas","Texas"
"Del Sol Medical Center","El Paso","Texas"
"El Paso Children's Hospital","El Paso","Texas"
"Baylor All Saints Medical Center","Fort Worth","Texas"
"Cook Children's Medical Center","Fort Worth","Texas"
"Harris Methodist Fort Worth Hospital","Fort Worth","Texas"
"John Peter Smith Hospital","Fort Worth","Texas"
"University of Texas Medical Branch","Galveston","Texas"
"Ben Taub General Hospital","Houston","Texas"
"Children's Memorial Hermann Hospital","Houston","Texas"
"Cypress Fairbanks Medical Center Hospital","Houston","Texas"
"Houston Methodist West Hospital","Houston","Texas"
"Lyndon B. Johnson General Hospital","Houston","Texas"
"Memorial Hermann Memorial City Medical Center","Houston","Texas"
"Memorial Hermann Southeast","Houston","Texas"
"Memorial Hermann Southwest","Houston","Texas"
"Methodist Willowbrook Hospital","Houston","Texas"
"St. Joseph Hospital","Houston","Texas"
"Texas Children's Hospital, Baylor College of Med.","Houston","Texas"
"Woman's Hospital of Texas, The","Houston","Texas"
"Kingwood Medical Center","Kingwood","Texas"
"Medical Center of Lewisville","Lewisville","Texas"
"Christus Good Shepherd Medical Center","Longview","Texas"
"Covenant Women and Children's Hospital","Lubbock","Texas"
"Columbia Medical Center of McKinney","McKinney","Texas"
"Bayshore Medical Center","Pasadena","Texas"
"Medical Center of Plano, The","Plano","Texas"
"Texas Health Presbyterian Hospital Plano","Plano","Texas"
"Lake Pointe Medical Center","Rowlett","Texas"
"Children's Hospital of San Antonio","San Antonio","Texas"
"Methodist Children's Hospital","San Antonio","Texas"
"Metropolitan Methodist Hospital","San Antonio","Texas"
"North Central Baptist Hospital","San Antonio","Texas"
"St. Luke's Baptist Hospital","San Antonio","Texas"
"University Hospital San Antonio","San Antonio","Texas"
"McLane Children's Hospital","Temple","Texas"
"Christus St. Michael Health System","Texarkana","Texas"
"Memorial Hermann The Woodlands","The Woodlands","Texas"
"St. Luke's The Woodlands Hospital","The Woodlands","Texas"
"Christus Trinity Mother Frances Health System","Tyler","Texas"
"Clear Lake Regional Medical Center","Webster","Texas"
"McKay Dee Hospital Center","Ogden","Utah"
"Timpanogos Regional Hospital","Orem","Utah"
"Utah Valley Regional Medical Center","Provo","Utah"
"Dixie Regional Medical Center","Saint George","Utah"
"Intermountain Medical Center","Salt Lake City","Utah"
"University of Utah Health Sciences Center","Salt Lake City","Utah"
"University of Vermont Children's Hospital","Burlington","Vermont"
"Virginia Hospital Center","Arlington","Virginia"
"University of Virginia","Charlottesville","Virginia"
"Inova Fair Oaks Hospital","Fairfax","Virginia"
"INOVA Children's Hospital","Falls Church","Virginia"
"Mary Washington Hospital","Fredericksburg","Virginia"
"Spotsylvania Regional Medical Center","Fredericksburg","Virginia"
"Inova Loudoun Hospital","Leesburg","Virginia"
"Centra Health, Virginia Baptist Hospital","Lynchburg","Virginia"
"Children's Hospital of the King's Daughters","Norfolk","Virginia"
"Bon Secours Richmond Health System","Richmond","Virginia"
"Children's Hosp of Richmond at VCU","Richmond","Virginia"
"CJW Medical Center, Chippenham Campus","Richmond","Virginia"
"Henrico Doctors' Hospital","Richmond","Virginia"
"Johnston-Willis Hospital","Richmond","Virginia"
"Carilion Clinic Children's Hospital","Roanoke","Virginia"
"Sentara Northern Virginia Medical Center","Woodbridge","Virginia"
"Overlake Hospital Medical Center","Bellevue","Washington"
"Providence Regional Medical Center Everett","Everett","Washington"
"Evergreen Health","Kirkland","Washington"
"Valley Med. Center Pediatrix Medical Group of WA","Renton","Washington"
"Kadlec Medical Center","Richland","Washington"
"Swedish Medical Center","Seattle","Washington"
"University of Washington Medical Center","Seattle","Washington"
"Deaconess Hospital","Spokane","Washington"
"Providence Sacred Heart Medical Center & Childrens","Spokane","Washington"
"MultiCare Health System-Tacoma General Hospital","Tacoma","Washington"
"St. Joseph Medical Center","Tacoma","Washington"
"Legacy Salmon Creek Hospital","Vancouver","Washington"
"PeaceHealth Southwest Medical Center","Vancouver","Washington"
"Yakima Valley Memorial Hospital","Yakima","Washington"
"Charleston Area Medical Center","Charleston","West Virginia"
"Cabell Huntington Hospital, Inc.","Huntington","West Virginia"
"Berkeley Medical Center","Martinsburg","West Virginia"
"West Virginia University School of Medicine","Morgantown","West Virginia"
"Affinity NICU at St. Elizabeth Hospital","Appleton","Wisconsin"
"Aurora Baycare Medical Center","Green Bay","Wisconsin"
"St. Vincent Hospital","Green Bay","Wisconsin"
"Gundersen Lutheran Medical Center","La Crosse","Wisconsin"
"American Family Children's Hospital","Madison","Wisconsin"
"Meriter Hospital","Madison","Wisconsin"
"St. Mary's Hospital Medical Center","Madison","Wisconsin"
"St. Joseph Hospital-Marshfield Clinic","Marshfield","Wisconsin"
"Ascension - St. Joseph's Hospital","Milwaukee","Wisconsin"
"Aurora Sinai Medical Center","Milwaukee","Wisconsin"
"Children's Hospital of Wisconsin","Milwaukee","Wisconsin"
"Columbia St. Mary's Hospital","Milwaukee","Wisconsin"
"Children's Hospital of Wisconsin, Fox Valley","Neenah","Wisconsin"
"Ascension All Saints Hospital","Racine","Wisconsin"
"Waukesha Memorial Hospital","Waukesha","Wisconsin"
"Aspirus Wausau Hospital","Wausau","Wisconsin"
"Aurora Women's Pavilion","West Allis","Wisconsin"
